Order ID,Order Date,Region,Category,Segment,Product,Sales,Profit,Quantity
ORD-1030,2022-01-02 06:00:00,North,Technology,Corporate,Binder,675.52,66.4,9
ORD-1031,2022-01-02 07:00:00,North,Furniture,Corporate,Binder,511.3,68.01,6
ORD-1032,2022-01-02 08:00:00,West,Office Supplies,Home Office,Table,460.13,146.18,1
ORD-1033,2022-01-02 09:00:00,South,Technology,Consumer,Phone,633.57,274.36,7
ORD-1034,2022-01-02 10:00:00,South,Furniture,Corporate,Chair,542.14,12.9,3
ORD-1035,2022-01-02 11:00:00,North,Office Supplies,Home Office,Chair,373.14,236.93,6
ORD-1036,2022-01-02 12:00:00,West,Technology,Corporate,Chair,603.16,26.68,2
ORD-1037,2022-01-02 13:00:00,North,Technology,Consumer,Printer,702.55,148.68,7
ORD-1038,2022-01-02 14:00:00,North,Office Supplies,Home Office,Laptop,124.02,194.98,1
ORD-1039,2022-01-02 15:00:00,East,Office Supplies,Home Office,Phone,519.28,209.16,2
ORD-1040,2022-01-02 16:00:00,East,Furniture,Consumer,Chair,151.91,26.96,9
ORD-1041,2022-01-02 17:00:00,East,Furniture,Home Office,Laptop,267.76,131.4,9
ORD-1042,2022-01-02 18:00:00,South,Technology,Consumer,Binder,604.46,179.31,7
ORD-1043,2022-01-02 19:00:00,West,Office Supplies,Home Office,Table,879.57,29.15,2
ORD-1044,2022-01-02 20:00:00,West,Office Supplies,Home Office,Phone,894.53,49.18,5
ORD-1045,2022-01-02 21:00:00,West,Office Supplies,Consumer,Phone,162.95,202.46,4
ORD-1046,2022-01-02 22:00:00,West,Technology,Consumer,Printer,477.19,161.28,2
ORD-1047,2022-01-02 23:00:00,East,Office Supplies,Home Office,Binder,624.71,56.93,2
ORD-1048,2022-01-03 00:00:00,South,Office Supplies,Home Office,Phone,232.36,165.22,8
ORD-1049,2022-01-03 01:00:00,South,Technology,Consumer,Printer,788.89,274.68,5
ORD-1050,2022-01-03 02:00:00,East,Furniture,Consumer,Printer,769.81,14.52,8
ORD-1051,2022-01-03 03:00:00,South,Furniture,Home Office,Printer,913.01,196.36,2
ORD-1052,2022-01-03 04:00:00,East,Technology,Home Office,Phone,107.64,31.36,2
ORD-1053,2022-01-03 05:00:00,West,Office Supplies,Home Office,Phone,295.02,11.87,3
ORD-1054,2022-01-03 06:00:00,East,Technology,Consumer,Phone,844.47,53.69,8
ORD-1055,2022-01-03 07:00:00,West,Furniture,Home Office,Laptop,703.52,132.64,8
ORD-1056,2022-01-03 08:00:00,West,Furniture,Corporate,Printer,904.95,242.68,3
ORD-1057,2022-01-03 09:00:00,North,Technology,Consumer,Laptop,151.46,91.72,1
ORD-1058,2022-01-03 10:00:00,East,Technology,Home Office,Table,637.27,191.45,7
ORD-1059,2022-01-03 11:00:00,North,Furniture,Consumer,Phone,612.14,129.24,4
ORD-1060,2022-01-03 12:00:00,East,Technology,Corporate,Binder,132.11,77.96,3
ORD-1061,2022-01-03 13:00:00,East,Furniture,Consumer,Chair,562.17,159.13,5
ORD-1062,2022-01-03 14:00:00,North,Technology,Home Office,Table,648.57,241.26,6
ORD-1063,2022-01-03 15:00:00,North,Technology,Corporate,Chair,272.16,251.42,1
ORD-1064,2022-01-03 16:00:00,East,Technology,Corporate,Chair,346.0,255.49,9
ORD-1065,2022-01-03 17:00:00,South,Furniture,Home Office,Phone,676.31,108.18,6
ORD-1066,2022-01-03 18:00:00,West,Technology,Home Office,Binder,521.47,240.1,3
ORD-1067,2022-01-03 19:00:00,North,Furniture,Home Office,Chair,872.21,71.53,1
ORD-1068,2022-01-03 20:00:00,West,Furniture,Consumer,Printer,408.14,224.14,9
ORD-1069,2022-01-03 21:00:00,South,Technology,Consumer,Chair,339.99,285.03,2
ORD-1070,2022-01-03 22:00:00,South,Technology,Consumer,Table,986.38,13.99,6
ORD-1071,2022-01-03 23:00:00,South,Furniture,Home Office,Binder,920.02,137.71,6
ORD-1072,2022-01-04 00:00:00,North,Furniture,Home Office,Binder,126.09,197.85,3
ORD-1073,2022-01-04 01:00:00,South,Office Supplies,Consumer,Chair,793.66,213.51,6
ORD-1074,2022-01-04 02:00:00,North,Furniture,Corporate,Binder,199.3,61.07,2
ORD-1075,2022-01-04 03:00:00,South,Office Supplies,Consumer,Table,124.74,291.93,8
ORD-1076,2022-01-04 04:00:00,West,Office Supplies,Corporate,Table,346.33,188.43,1
ORD-1077,2022-01-04 05:00:00,West,Office Supplies,Home Office,Table,342.41,57.66,6
ORD-1078,2022-01-04 06:00:00,East,Technology,Home Office,Printer,837.39,15.95,1
ORD-1079,2022-01-04 07:00:00,West,Technology,Consumer,Phone,739.6,237.15,9
ORD-1080,2022-01-04 08:00:00,East,Furniture,Consumer,Chair,983.45,33.11,9
ORD-1081,2022-01-04 09:00:00,West,Office Supplies,Home Office,Binder,740.36,50.9,6
ORD-1082,2022-01-04 10:00:00,North,Technology,Consumer,Table,476.43,176.7,6
ORD-1083,2022-01-04 11:00:00,West,Technology,Home Office,Chair,729.03,185.02,9
ORD-1084,2022-01-04 12:00:00,East,Technology,Home Office,Chair,999.51,209.2,5
ORD-1085,2022-01-04 13:00:00,East,Technology,Corporate,Phone,739.13,124.12,9
ORD-1086,2022-01-04 14:00:00,South,Technology,Consumer,Printer,785.51,234.43,5
ORD-1087,2022-01-04 15:00:00,North,Office Supplies,Home Office,Binder,944.53,292.56,4
ORD-1088,2022-01-04 16:00:00,West,Office Supplies,Consumer,Printer,202.29,88.62,2
ORD-1089,2022-01-04 17:00:00,South,Office Supplies,Corporate,Binder,734.31,213.88,2
ORD-1090,2022-01-04 18:00:00,West,Office Supplies,Corporate,Table,865.73,279.26,1
ORD-1091,2022-01-04 19:00:00,West,Furniture,Consumer,Table,958.94,209.02,3
ORD-1092,2022-01-04 20:00:00,South,Office Supplies,Consumer,Chair,289.87,207.52,1
ORD-1093,2022-01-04 21:00:00,South,Technology,Home Office,Binder,553.54,74.89,6
ORD-1094,2022-01-04 22:00:00,South,Office Supplies,Corporate,Binder,712.5,165.19,7
ORD-1095,2022-01-04 23:00:00,South,Furniture,Corporate,Printer,322.72,173.13,9
ORD-1096,2022-01-05 00:00:00,South,Technology,Corporate,Table,640.43,213.04,7
ORD-1097,2022-01-05 01:00:00,West,Office Supplies,Consumer,Laptop,331.82,299.08,4
ORD-1098,2022-01-05 02:00:00,South,Office Supplies,Home Office,Chair,400.11,19.76,4
ORD-1099,2022-01-05 03:00:00,North,Office Supplies,Consumer,Binder,497.37,28.92,8
ORD-1100,2022-01-05 04:00:00,East,Technology,Consumer,Phone,576.27,32.61,4
ORD-1101,2022-01-05 05:00:00,South,Technology,Consumer,Phone,504.43,225.46,1
ORD-1102,2022-01-05 06:00:00,South,Furniture,Home Office,Laptop,543.88,49.54,9
ORD-1103,2022-01-05 07:00:00,West,Technology,Consumer,Table,368.73,190.51,3
ORD-1104,2022-01-05 08:00:00,South,Technology,Corporate,Table,243.07,104.15,1
ORD-1105,2022-01-05 09:00:00,South,Office Supplies,Corporate,Table,142.61,142.62,9
ORD-1106,2022-01-05 10:00:00,South,Technology,Corporate,Printer,276.38,72.54,5
ORD-1107,2022-01-05 11:00:00,West,Office Supplies,Home Office,Phone,623.75,261.17,9
ORD-1108,2022-01-05 12:00:00,South,Office Supplies,Consumer,Table,807.5,179.98,3
ORD-1109,2022-01-05 13:00:00,East,Technology,Home Office,Phone,252.32,283.92,6
ORD-1110,2022-01-05 14:00:00,West,Furniture,Consumer,Laptop,197.7,176.63,7
ORD-1111,2022-01-05 15:00:00,East,Furniture,Corporate,Chair,774.36,45.93,5
ORD-1112,2022-01-05 16:00:00,West,Technology,Consumer,Printer,374.64,59.55,8
ORD-1113,2022-01-05 17:00:00,South,Furniture,Consumer,Binder,956.35,296.83,6
ORD-1114,2022-01-05 18:00:00,East,Office Supplies,Consumer,Laptop,742.89,220.41,6
ORD-1115,2022-01-05 19:00:00,West,Office Supplies,Home Office,Phone,394.08,24.29,7
ORD-1116,2022-01-05 20:00:00,North,Technology,Consumer,Laptop,360.59,214.1,8
ORD-1117,2022-01-05 21:00:00,South,Furniture,Consumer,Binder,571.33,129.53,2
ORD-1118,2022-01-05 22:00:00,West,Furniture,Consumer,Printer,171.23,99.09,7
ORD-1119,2022-01-05 23:00:00,North,Office Supplies,Home Office,Chair,205.91,54.68,9
ORD-1120,2022-01-06 00:00:00,West,Technology,Home Office,Binder,258.27,253.57,1
ORD-1121,2022-01-06 01:00:00,North,Furniture,Home Office,Printer,797.25,28.51,1
ORD-1122,2022-01-06 02:00:00,South,Technology,Consumer,Phone,562.47,94.05,7
ORD-1123,2022-01-06 03:00:00,East,Furniture,Corporate,Binder,109.51,98.85,5
ORD-1124,2022-01-06 04:00:00,North,Office Supplies,Corporate,Laptop,706.16,56.66,1
ORD-1125,2022-01-06 05:00:00,West,Office Supplies,Corporate,Table,481.32,157.37,1
ORD-1126,2022-01-06 06:00:00,South,Technology,Consumer,Laptop,559.77,13.39,2
ORD-1127,2022-01-06 07:00:00,North,Office Supplies,Corporate,Phone,292.7,97.28,9
ORD-1128,2022-01-06 08:00:00,West,Furniture,Corporate,Chair,596.6,280.75,3
ORD-1129,2022-01-06 09:00:00,West,Office Supplies,Corporate,Binder,981.24,100.05,9
ORD-1130,2022-01-06 10:00:00,West,Technology,Consumer,Chair,166.1,114.53,6
ORD-1131,2022-01-06 11:00:00,North,Technology,Corporate,Phone,355.53,147.22,6
ORD-1132,2022-01-06 12:00:00,North,Technology,Corporate,Binder,318.7,172.89,7
ORD-1133,2022-01-06 13:00:00,North,Furniture,Consumer,Printer,323.69,244.53,8
ORD-1134,2022-01-06 14:00:00,East,Furniture,Home Office,Printer,440.84,65.19,3
ORD-1135,2022-01-06 15:00:00,North,Furniture,Corporate,Laptop,836.3,262.81,8
ORD-1136,2022-01-06 16:00:00,North,Furniture,Home Office,Laptop,921.57,229.69,6
ORD-1137,2022-01-06 17:00:00,North,Furniture,Corporate,Phone,281.99,219.57,6
ORD-1138,2022-01-06 18:00:00,East,Office Supplies,Consumer,Printer,588.65,35.17,3
ORD-1139,2022-01-06 19:00:00,North,Furniture,Home Office,Binder,673.21,16.28,6
ORD-1140,2022-01-06 20:00:00,West,Furniture,Home Office,Printer,569.64,182.26,8
ORD-1141,2022-01-06 21:00:00,North,Office Supplies,Home Office,Laptop,490.67,260.31,7
ORD-1142,2022-01-06 22:00:00,West,Furniture,Home Office,Phone,272.78,179.49,7
ORD-1143,2022-01-06 23:00:00,West,Technology,Corporate,Printer,539.4,71.84,3
ORD-1144,2022-01-07 00:00:00,West,Furniture,Corporate,Phone,461.09,36.25,3
ORD-1145,2022-01-07 01:00:00,East,Furniture,Home Office,Printer,816.01,212.88,5
ORD-1146,2022-01-07 02:00:00,East,Technology,Corporate,Chair,787.24,219.31,5
ORD-1147,2022-01-07 03:00:00,East,Technology,Home Office,Printer,220.6,60.03,9
ORD-1148,2022-01-07 04:00:00,North,Technology,Home Office,Laptop,179.67,18.18,9
ORD-1149,2022-01-07 05:00:00,West,Technology,Consumer,Binder,917.34,128.4,5
ORD-1150,2022-01-07 06:00:00,East,Furniture,Home Office,Laptop,581.96,178.99,5
ORD-1151,2022-01-07 07:00:00,East,Technology,Corporate,Laptop,872.02,214.74,6
ORD-1152,2022-01-07 08:00:00,North,Technology,Home Office,Laptop,152.34,244.88,8
ORD-1153,2022-01-07 09:00:00,East,Office Supplies,Consumer,Phone,573.86,187.06,6
ORD-1154,2022-01-07 10:00:00,North,Technology,Corporate,Table,585.48,42.16,6
ORD-1155,2022-01-07 11:00:00,South,Technology,Consumer,Table,874.63,207.95,9
ORD-1156,2022-01-07 12:00:00,East,Office Supplies,Consumer,Chair,187.85,295.41,1
ORD-1157,2022-01-07 13:00:00,South,Office Supplies,Home Office,Laptop,316.4,272.62,4
ORD-1158,2022-01-07 14:00:00,North,Furniture,Consumer,Table,465.88,262.78,2
ORD-1159,2022-01-07 15:00:00,West,Office Supplies,Consumer,Chair,879.26,97.63,9
ORD-1160,2022-01-07 16:00:00,East,Furniture,Corporate,Phone,944.99,227.73,3
ORD-1161,2022-01-07 17:00:00,North,Office Supplies,Consumer,Laptop,993.45,256.82,2
ORD-1162,2022-01-07 18:00:00,West,Office Supplies,Home Office,Binder,963.27,206.71,8
ORD-1163,2022-01-07 19:00:00,West,Furniture,Home Office,Phone,105.35,82.66,4
ORD-1164,2022-01-07 20:00:00,South,Office Supplies,Home Office,Chair,142.94,286.61,2
ORD-1165,2022-01-07 21:00:00,North,Furniture,Consumer,Phone,232.85,140.74,4
ORD-1166,2022-01-07 22:00:00,West,Office Supplies,Corporate,Binder,413.98,47.64,7
ORD-1167,2022-01-07 23:00:00,East,Technology,Home Office,Phone,846.93,41.84,7
ORD-1168,2022-01-08 00:00:00,East,Office Supplies,Consumer,Chair,903.39,197.78,1
ORD-1169,2022-01-08 01:00:00,South,Furniture,Home Office,Binder,268.15,136.94,1
ORD-1170,2022-01-08 02:00:00,West,Office Supplies,Home Office,Binder,657.7,37.4,3
ORD-1171,2022-01-08 03:00:00,North,Furniture,Corporate,Phone,925.63,224.71,2
ORD-1172,2022-01-08 04:00:00,East,Furniture,Home Office,Binder,517.36,241.8,3
ORD-1173,2022-01-08 05:00:00,West,Technology,Corporate,Phone,193.19,220.37,4
ORD-1174,2022-01-08 06:00:00,West,Technology,Consumer,Laptop,512.03,68.66,7
ORD-1175,2022-01-08 07:00:00,South,Furniture,Home Office,Binder,438.22,210.03,2
ORD-1176,2022-01-08 08:00:00,East,Office Supplies,Consumer,Phone,619.89,13.11,7
ORD-1177,2022-01-08 09:00:00,East,Furniture,Consumer,Laptop,494.79,98.48,5
ORD-1178,2022-01-08 10:00:00,North,Furniture,Consumer,Binder,115.61,125.66,8
ORD-1179,2022-01-08 11:00:00,East,Office Supplies,Home Office,Laptop,994.6,252.22,8
ORD-1180,2022-01-08 12:00:00,North,Office Supplies,Corporate,Printer,589.19,123.21,5
ORD-1181,2022-01-08 13:00:00,East,Office Supplies,Home Office,Binder,526.27,13.27,8
ORD-1182,2022-01-08 14:00:00,South,Office Supplies,Consumer,Printer,959.16,112.18,9
ORD-1183,2022-01-08 15:00:00,East,Furniture,Corporate,Chair,240.27,154.69,7
ORD-1184,2022-01-08 16:00:00,North,Furniture,Consumer,Chair,270.31,285.21,6
ORD-1185,2022-01-08 17:00:00,North,Technology,Corporate,Phone,827.21,282.9,7
ORD-1186,2022-01-08 18:00:00,South,Furniture,Home Office,Table,334.75,62.45,7
ORD-1187,2022-01-08 19:00:00,East,Office Supplies,Corporate,Printer,819.3,63.69,3
ORD-1188,2022-01-08 20:00:00,East,Technology,Home Office,Printer,344.38,57.38,6
ORD-1189,2022-01-08 21:00:00,South,Office Supplies,Consumer,Chair,129.87,238.79,6
ORD-1190,2022-01-08 22:00:00,East,Furniture,Corporate,Printer,565.31,11.75,9
ORD-1191,2022-01-08 23:00:00,East,Technology,Consumer,Table,277.02,46.88,1
ORD-1192,2022-01-09 00:00:00,North,Office Supplies,Corporate,Laptop,782.06,166.01,7
ORD-1193,2022-01-09 01:00:00,East,Technology,Home Office,Laptop,677.08,81.79,1
ORD-1194,2022-01-09 02:00:00,East,Technology,Corporate,Table,931.24,36.78,4
ORD-1195,2022-01-09 03:00:00,South,Furniture,Corporate,Printer,804.69,114.36,7
ORD-1196,2022-01-09 04:00:00,South,Office Supplies,Home Office,Printer,262.7,89.52,6
ORD-1197,2022-01-09 05:00:00,West,Technology,Home Office,Printer,820.14,158.22,6
ORD-1198,2022-01-09 06:00:00,North,Technology,Home Office,Phone,677.56,293.98,5
ORD-1199,2022-01-09 07:00:00,East,Office Supplies,Corporate,Binder,702.06,46.05,7
ORD-1200,2022-01-09 08:00:00,East,Technology,Consumer,Table,849.04,118.09,9
ORD-1201,2022-01-09 09:00:00,West,Technology,Corporate,Table,616.44,280.28,6
ORD-1202,2022-01-09 10:00:00,East,Technology,Corporate,Table,519.4,264.29,7
ORD-1203,2022-01-09 11:00:00,North,Office Supplies,Consumer,Table,672.98,124.34,9
ORD-1204,2022-01-09 12:00:00,West,Office Supplies,Home Office,Table,368.16,212.7,7
ORD-1205,2022-01-09 13:00:00,North,Office Supplies,Corporate,Printer,264.34,35.48,6
ORD-1206,2022-01-09 14:00:00,West,Office Supplies,Consumer,Phone,654.93,216.64,3
ORD-1207,2022-01-09 15:00:00,West,Furniture,Home Office,Chair,310.46,292.13,1
ORD-1208,2022-01-09 16:00:00,South,Technology,Home Office,Printer,171.92,165.87,9
ORD-1209,2022-01-09 17:00:00,North,Office Supplies,Corporate,Printer,100.5,154.56,7
ORD-1210,2022-01-09 18:00:00,East,Technology,Home Office,Binder,647.49,64.32,3
ORD-1211,2022-01-09 19:00:00,East,Technology,Home Office,Chair,425.93,193.8,9
ORD-1212,2022-01-09 20:00:00,North,Furniture,Consumer,Table,777.08,181.23,3
ORD-1213,2022-01-09 21:00:00,East,Office Supplies,Consumer,Chair,437.66,199.06,3
ORD-1214,2022-01-09 22:00:00,East,Office Supplies,Home Office,Phone,537.4,17.56,7
ORD-1215,2022-01-09 23:00:00,North,Technology,Consumer,Laptop,466.38,169.13,2
ORD-1216,2022-01-10 00:00:00,West,Office Supplies,Home Office,Printer,685.52,182.53,7
ORD-1217,2022-01-10 01:00:00,North,Technology,Corporate,Chair,420.53,70.18,7
ORD-1218,2022-01-10 02:00:00,West,Technology,Consumer,Binder,967.39,70.42,1
ORD-1219,2022-01-10 03:00:00,East,Furniture,Home Office,Phone,942.53,90.1,2
ORD-1220,2022-01-10 04:00:00,East,Furniture,Home Office,Laptop,863.23,216.4,5
ORD-1221,2022-01-10 05:00:00,East,Furniture,Consumer,Phone,928.27,185.82,4
ORD-1222,2022-01-10 06:00:00,South,Technology,Consumer,Table,504.23,255.27,3
ORD-1223,2022-01-10 07:00:00,West,Office Supplies,Corporate,Laptop,582.79,95.74,8
ORD-1224,2022-01-10 08:00:00,South,Furniture,Home Office,Binder,767.88,274.5,7
ORD-1225,2022-01-10 09:00:00,South,Office Supplies,Corporate,Laptop,726.53,225.67,9
ORD-1226,2022-01-10 10:00:00,North,Furniture,Corporate,Binder,901.61,124.55,3
ORD-1227,2022-01-10 11:00:00,South,Furniture,Corporate,Table,744.7,37.63,1
ORD-1228,2022-01-10 12:00:00,North,Technology,Consumer,Binder,998.1,84.53,9
ORD-1229,2022-01-10 13:00:00,North,Furniture,Corporate,Phone,413.66,287.46,9
ORD-1230,2022-01-10 14:00:00,South,Furniture,Consumer,Chair,849.7,100.01,1
ORD-1231,2022-01-10 15:00:00,West,Technology,Consumer,Phone,727.87,105.67,8
ORD-1232,2022-01-10 16:00:00,West,Office Supplies,Corporate,Printer,722.25,64.98,1
ORD-1233,2022-01-10 17:00:00,West,Furniture,Corporate,Phone,393.25,243.99,6
ORD-1234,2022-01-10 18:00:00,West,Technology,Home Office,Laptop,807.04,89.94,9
ORD-1235,2022-01-10 19:00:00,West,Furniture,Corporate,Table,910.34,105.77,3
ORD-1236,2022-01-10 20:00:00,South,Technology,Home Office,Printer,296.69,130.16,6
ORD-1237,2022-01-10 21:00:00,South,Office Supplies,Corporate,Printer,662.95,135.78,3
ORD-1238,2022-01-10 22:00:00,East,Office Supplies,Corporate,Printer,452.92,129.29,5
ORD-1239,2022-01-10 23:00:00,West,Technology,Corporate,Chair,990.59,156.09,7
ORD-1240,2022-01-11 00:00:00,South,Technology,Corporate,Binder,530.95,246.21,4
ORD-1241,2022-01-11 01:00:00,East,Technology,Home Office,Laptop,305.49,247.59,4
ORD-1242,2022-01-11 02:00:00,West,Office Supplies,Home Office,Table,443.67,241.51,7
ORD-1243,2022-01-11 03:00:00,North,Furniture,Corporate,Chair,688.45,39.33,5
ORD-1244,2022-01-11 04:00:00,East,Office Supplies,Corporate,Phone,168.48,241.91,1
ORD-1245,2022-01-11 05:00:00,South,Technology,Home Office,Table,643.24,44.87,2
ORD-1246,2022-01-11 06:00:00,North,Technology,Consumer,Printer,938.1,46.17,6
ORD-1247,2022-01-11 07:00:00,North,Office Supplies,Consumer,Table,865.33,284.88,9
ORD-1248,2022-01-11 08:00:00,North,Technology,Consumer,Table,160.91,247.63,7
ORD-1249,2022-01-11 09:00:00,East,Office Supplies,Home Office,Phone,994.05,170.2,4
ORD-1250,2022-01-11 10:00:00,South,Technology,Home Office,Binder,728.85,263.74,2
ORD-1251,2022-01-11 11:00:00,North,Furniture,Consumer,Laptop,246.05,296.92,4
ORD-1252,2022-01-11 12:00:00,West,Furniture,Consumer,Printer,111.17,187.09,5
ORD-1253,2022-01-11 13:00:00,North,Technology,Corporate,Binder,254.15,187.74,2
ORD-1254,2022-01-11 14:00:00,North,Office Supplies,Home Office,Chair,854.36,228.78,1
ORD-1255,2022-01-11 15:00:00,East,Furniture,Home Office,Printer,119.48,77.32,4
ORD-1256,2022-01-11 16:00:00,East,Office Supplies,Consumer,Laptop,309.83,58.47,6
ORD-1257,2022-01-11 17:00:00,South,Technology,Consumer,Chair,781.58,230.28,1
ORD-1258,2022-01-11 18:00:00,West,Office Supplies,Home Office,Phone,627.5,110.02,1
ORD-1259,2022-01-11 19:00:00,East,Furniture,Corporate,Binder,804.46,49.17,9
ORD-1260,2022-01-11 20:00:00,North,Office Supplies,Consumer,Printer,771.54,101.31,5
ORD-1261,2022-01-11 21:00:00,South,Office Supplies,Home Office,Table,145.54,114.0,2
ORD-1262,2022-01-11 22:00:00,North,Technology,Home Office,Laptop,903.26,289.92,2
ORD-1263,2022-01-11 23:00:00,North,Technology,Corporate,Printer,304.33,212.41,4
ORD-1264,2022-01-12 00:00:00,East,Technology,Corporate,Table,598.05,163.95,2
ORD-1265,2022-01-12 01:00:00,South,Furniture,Consumer,Printer,679.86,290.97,4
ORD-1266,2022-01-12 02:00:00,West,Furniture,Consumer,Chair,251.77,271.91,6
ORD-1267,2022-01-12 03:00:00,West,Technology,Consumer,Table,978.61,158.48,7
ORD-1268,2022-01-12 04:00:00,East,Technology,Home Office,Table,539.34,272.65,6
ORD-1269,2022-01-12 05:00:00,East,Furniture,Consumer,Printer,151.88,127.25,4
ORD-1270,2022-01-12 06:00:00,South,Furniture,Home Office,Phone,943.54,76.82,3
ORD-1271,2022-01-12 07:00:00,West,Furniture,Consumer,Phone,627.64,77.48,4
ORD-1272,2022-01-12 08:00:00,West,Furniture,Corporate,Binder,729.27,202.07,5
ORD-1273,2022-01-12 09:00:00,West,Technology,Corporate,Chair,572.66,155.31,4
ORD-1274,2022-01-12 10:00:00,North,Furniture,Home Office,Phone,851.26,201.1,3
ORD-1275,2022-01-12 11:00:00,West,Technology,Corporate,Printer,129.82,208.96,1
ORD-1276,2022-01-12 12:00:00,North,Office Supplies,Home Office,Phone,341.54,16.47,3
ORD-1277,2022-01-12 13:00:00,South,Office Supplies,Home Office,Binder,522.68,25.67,5
ORD-1278,2022-01-12 14:00:00,North,Furniture,Corporate,Laptop,168.94,164.48,6
ORD-1279,2022-01-12 15:00:00,South,Office Supplies,Home Office,Binder,735.32,65.4,4
ORD-1280,2022-01-12 16:00:00,West,Office Supplies,Corporate,Table,454.3,193.43,1
ORD-1281,2022-01-12 17:00:00,West,Office Supplies,Consumer,Table,345.4,170.13,7
ORD-1282,2022-01-12 18:00:00,South,Furniture,Consumer,Phone,103.04,179.87,9
ORD-1283,2022-01-12 19:00:00,East,Furniture,Corporate,Phone,747.85,97.71,6
ORD-1284,2022-01-12 20:00:00,South,Office Supplies,Corporate,Binder,850.43,195.55,6
ORD-1285,2022-01-12 21:00:00,East,Technology,Corporate,Binder,455.54,250.55,9
ORD-1286,2022-01-12 22:00:00,North,Office Supplies,Corporate,Printer,607.8,299.44,4
ORD-1287,2022-01-12 23:00:00,North,Furniture,Consumer,Chair,304.92,253.15,5
ORD-1288,2022-01-13 00:00:00,North,Furniture,Home Office,Printer,659.98,171.67,5
ORD-1289,2022-01-13 01:00:00,West,Furniture,Home Office,Table,110.92,66.09,5
ORD-1290,2022-01-13 02:00:00,North,Office Supplies,Consumer,Printer,539.78,207.62,8
ORD-1291,2022-01-13 03:00:00,East,Technology,Home Office,Binder,679.78,281.92,1
ORD-1292,2022-01-13 04:00:00,North,Furniture,Consumer,Printer,926.37,71.44,3
ORD-1293,2022-01-13 05:00:00,South,Furniture,Home Office,Laptop,443.2,84.24,8
ORD-1294,2022-01-13 06:00:00,South,Office Supplies,Corporate,Chair,788.67,53.21,9
ORD-1295,2022-01-13 07:00:00,West,Technology,Corporate,Binder,637.92,223.65,2
ORD-1296,2022-01-13 08:00:00,South,Office Supplies,Corporate,Phone,934.31,127.9,4
ORD-1297,2022-01-13 09:00:00,East,Furniture,Consumer,Printer,458.54,28.18,8
ORD-1298,2022-01-13 10:00:00,North,Technology,Consumer,Binder,387.19,263.74,5
ORD-1299,2022-01-13 11:00:00,West,Technology,Home Office,Phone,898.43,171.72,1
